ID,Aribnb Property ID,Homeaway Property ID,M Homeaway Property ID,Title,Room Type,Property Type,Avg. Daily Rate,Occupancy,Revenue,Total Reviews,Rating,Bedrooms,Bathrooms,Accommodates,Latitude,Longitude,Days Available,Image Cover,Link,Regions
52599,1990543,,,Private 1906 Bungalow,Entire home/apt,Guesthouse,134.16423,0.9342466,45750,1024,9.3,1,1,2,34.00365,-118.48373,365,https://a0.muscache.com/im/pictures/b12d69ec-02bb-4f51-b5cf-c060e57271f7.jpg?aki_policy=x_large,https://airbnb.com/rooms/1990543,26613
52988,3844150,,,Serene Garden Room by the Beach!!!,Private room,Guest suite,104.344696,0.8888889,27547,248,9.3,1,1,1,34.02204,-118.49828,297,https://a0.muscache.com/im/pictures/29fa025c-d86c-4c73-8a6b-6dba80d7705d.jpg?aki_policy=x_large,https://airbnb.com/rooms/3844150,26611
53401,4558987,,,Bright New Beachside Master Suite,Private room,Rental unit,173.4439,0.7735849,35556,251,9.7,1,1,4,34.0243,-118.50334,265,https://a0.muscache.com/im/pictures/2ac0a0cf-6d73-4c7c-bfae-692ee12ee7f2.jpg?aki_policy=x_large,https://airbnb.com/rooms/4558987,26611
53655,4581249,,,Bright New Beachside Bedroom,Private room,Rental unit,160.7552,0.7356322,30865,266,9.6,1,1,4,34.02419,-118.50458,261,https://a0.muscache.com/im/pictures/52e08cd7-4dc9-4edb-aed5-000677b0d78b.jpg?aki_policy=x_large,https://airbnb.com/rooms/4581249,26611
54066,1399365,,,Elegant Design Apartment with Courtyard Garden Dining Space,Entire home/apt,Rental unit,222.33702,0.94166666,50248.164,242,9.9,1,1,2,34.02461,-118.48571,240,"https://a0.muscache.com/4ea/air/v2/pictures/e725c706-20e2-46a0-b40b-9107484f4be0.jpg?t=r:w2500-h1500-sfit,e:fjpg-c90",https://airbnb.com/rooms/1399365,26612
54530,1815430,,,"Liz''s Beachy Retreat in Santa Monica, Master Suite",Private room,Rental unit,153.65356,0.80924857,43023,432,9.8,1,1,2,34.02288,-118.49851,346,https://a0.muscache.com/im/pictures/ad00e2db-66aa-424c-add2-3c88798a1d81.jpg?aki_policy=x_large,https://airbnb.com/rooms/1815430,26611
54574,7761546,,,Santa Monica One BedRoom Apt.(Ocean Breeze B),Entire home/apt,Rental unit,163.2143,0.6363636,4570,20,10,1,1,4,34.02511,-118.47867,44,https://a0.muscache.com/im/pictures/miso/Hosting-7761546/original/f6e0945a-4da1-4a69-b071-238b5cb5077d.jpeg?aki_policy=x_large,https://airbnb.com/rooms/7761546,26612
55266,3020271,,,ROOM & BATH. 4 BLOCKS TO OCEAN. N OF WILSHIRE.,Private room,Rental unit,174.35088,0.5480769,29814,99,9.4,1,1,1,34.02268,-118.50197,312,https://a0.muscache.com/im/pictures/f9c449f6-f093-4d9b-b414-478f3939fbd0.jpg?aki_policy=x_large,https://airbnb.com/rooms/3020271,26611
57201,1971900,,,Stunning Three Bedroom Santa Monica Beach Home,Entire home/apt,Home,1767.6895,0.54320985,233335,63,10,3,2.5,6,34.00796,-118.48839,243,"https://a0.muscache.com/4ea/air/v2/pictures/18d11826-7a86-4e19-bc65-642ae261e187.jpg?t=r:w2500-h1500-sfit,e:fjpg-c90",https://airbnb.com/rooms/1971900,26613
57484,5447959,,,Santa Monica with parking/Montana close to beach,Entire home/apt,Rental unit,281.7561,0.7557604,46208,85,9.6,1,1,2,34.02166,-118.50101,217,https://a0.muscache.com/im/pictures/miso/Hosting-5447959/original/aed9842d-e7d6-4d9c-a7f3-2e76f24b9c25.jpeg?aki_policy=x_large,https://airbnb.com/rooms/5447959,26611
57569,622974,,,PRIVATE ROOM W/BR IN SANTA MONICA,Private room,Rental unit,78.192856,0.38567492,10947,8,8.3,1,1,1,34.0251,-118.48914,363,https://a0.muscache.com/im/pictures/bcacd2ff-3033-413f-8c8e-50c98674922d.jpg?aki_policy=x_large,https://airbnb.com/rooms/622974,26612
57702,1577455,,,World-Famous Oceanfront 1-Bedroom With Balcony,Entire home/apt,Rental unit,184.87169,0.87096775,4991.5356,5,9.5,1,1,3,34.01501,-118.49973,31,https://a0.muscache.com/im/pictures/23019111/13fd7595_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1577455,26325
58043,3718962,,,Newly Furnished! 1 Bed Beach Condo,Entire home/apt,Condo,303.57144,0.0625,2125,24,9.8,1,1,3,34.00784,-118.4865,112,https://a0.muscache.com/im/pictures/4c54c714-d5d3-4732-802e-48d9da5a8d64.jpg?aki_policy=x_large,https://airbnb.com/rooms/3718962,26613
82036,3506410,,,Santa Monica Canyon Pied-a-Terre,Entire home/apt,Guest suite,148.26324,0.958209,47592.5,534,9.7,1,1,2,34.03092,-118.51178,335,https://a0.muscache.com/im/pictures/74337156/a2fcfd0c_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/3506410,26610
82073,131174,,,Santa Monica Beach Suite 5,Private room,Room in hotel,120.61303,0.58389264,10493.333,259,9.3,1,1,3,34.02732,-118.51856,149,https://a0.muscache.com/im/pictures/47219565/c0ef90d4_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/131174,26610
82320,6026700,,,Scandinavian movie couple’s guesthouse oasis.,Entire home/apt,Place,455.10168,0.6413044,53702,150,9.9,0,1,2,34.04062,-118.51406,184,https://a0.muscache.com/im/pictures/75057555/4e829be7_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/6026700,26610
82651,217971,,374221,GEORGEOUS CANYON BEACH GUESTHOUSE,Entire home/apt,Home,242.30276,0.92520773,80929.125,342,9.9,1,1,5,34.02886,-118.51392,361,https://a0.muscache.com/im/pictures/37142835/b3aca852_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/217971,26610
82756,2955921,,,Private Beach Patio Guestroom,Private room,Home,175.17485,0.7817109,46421.332,5,10,1,1,2,34.029670715332,-118.515068054199,339,https://a0.muscache.com/im/pictures/miso/Hosting-2955921/original/3697f281-e1df-4fe3-8d8c-195ea6c79f65.jpeg?aki_policy=x_large,https://airbnb.com/rooms/2955921,26610
82818,1995488,,,Santa Monica Studio,Private room,Condo,137.34813,0.8958333,41341.785,191,9.5,1,1,2,34.03475,-118.48976,336,https://a0.muscache.com/im/pictures/27454937/9d186e8d_original.jpg?aki_policy=x_large,https://airbnb.com/rooms/1995488,26611
